originalTitle,Year,Count,time,rate,isAdult,genres,Rating,Writer
In the Name of the Father,1993,151,133,1.14,0.0,"Biography,Crime,Drama",8.1,Gerry Conlon
Smokin' Stogies,2001,151,98,1.54,0.0,"Adventure,Comedy,Crime",3.7,Vincent Di Rosa
Soul Men,2008,151,100,1.51,0.0,"Comedy,Drama,Music",6.4,Robert Ramsey
All Day and a Night,2020,150,121,1.24,0.0,Drama,6.0,Joe Robert Cole
American Honey,2016,150,163,0.92,0.0,"Adventure,Drama,Romance",7.0,Andrea Arnold
Clerks II,2006,150,97,1.55,0.0,Comedy,7.3,Kevin Smith
Hoffa,1992,150,140,1.07,0.0,"Biography,Crime,Drama",6.6,David Mamet
The Place Beyond the Pines,2012,150,140,1.07,0.0,"Crime,Drama,Thriller",7.3,Derek Cianfrance
Patriots Day,2016,150,133,1.13,0.0,"Action,Crime,Drama",7.3,Peter Berg
The Fighter,2010,150,116,1.29,0.0,"Action,Biography,Drama",7.8,Scott Silver
War Dogs,2016,150,114,1.32,0.0,"Biography,Comedy,Crime",7.1,Stephen Chin
The Night Before,2015,150,101,1.49,0.0,"Comedy,Fantasy",6.4,Jonathan Levine
